"Location","Year","Series","Series Code","Month","Permits"
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,10,12
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,11,8
"Bexar County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,12,8
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,1,5
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,2,"1,853"
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,3,5
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,4,870
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,5,7
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,6,426
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,7,413
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,8,534
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,9,695
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,10,102
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,11,654
"Bexar County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,12,310
"Bexar County, TX",2020,"Total Units",1,1,717
"Bexar County, TX",2020,"Total Units",1,2,598
"Bexar County, TX",2020,"Total Units",1,3,954
"Bexar County, TX",2020,"Total Units",1,4,716
"Bexar County, TX",2020,"Total Units",1,5,696
"Bexar County, TX",2020,"Total Units",1,6,"1,010"
"Bexar County, TX",2020,"Total Units",1,7,"1,019"
"Bexar County, TX",2020,"Total Units",1,8,"1,346"
"Bexar County, TX",2020,"Total Units",1,9,447
"Bexar County, TX",2020,"Total Units",1,10,"1,062"
"Bexar County, TX",2020,"Total Units",1,11,867
"Bexar County, TX",2020,"Total Units",1,12,962
"Bexar County, TX",2020,"Units in Single Family Structures",2,1,427
"Bexar County, TX",2020,"Units in Single Family Structures",2,2,354
"Bexar County, TX",2020,"Units in Single Family Structures",2,3,494
"Bexar County, TX",2020,"Units in Single Family Structures",2,4,327
"Bexar County, TX",2020,"Units in Single Family Structures",2,5,317
"Bexar County, TX",2020,"Units in Single Family Structures",2,6,411
"Bexar County, TX",2020,"Units in Single Family Structures",2,7,471
"Bexar County, TX",2020,"Units in Single Family Structures",2,8,426
"Bexar County, TX",2020,"Units in Single Family Structures",2,9,416
"Bexar County, TX",2020,"Units in Single Family Structures",2,10,584
