"Location","Year","Series","Series Code","Month","Permits"
"Dallas County, TX",2021,"Units in Single Family Structures",2,2,534
"Dallas County, TX",2021,"Units in Single Family Structures",2,3,835
"Dallas County, TX",2021,"Units in Single Family Structures",2,4,623
"Dallas County, TX",2021,"Units in Single Family Structures",2,5,823
"Dallas County, TX",2021,"Units in Single Family Structures",2,6,706
"Dallas County, TX",2021,"Units in Single Family Structures",2,7,608
"Dallas County, TX",2021,"Units in Single Family Structures",2,8,458
"Dallas County, TX",2021,"Units in Single Family Structures",2,9,623
"Dallas County, TX",2021,"Units in Single Family Structures",2,10,550
"Dallas County, TX",2021,"Units in Single Family Structures",2,11,454
"Dallas County, TX",2021,"Units in Single Family Structures",2,12,539
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,1,"2,041"
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,2,777
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,3,761
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,4,449
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,5,760
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,6,"2,154"
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,7,444
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,8,936
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,9,587
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,10,932
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,11,929
"Dallas County, TX",2021,"Units in All Multifamily Structures",3,12,744
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,1,16
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,2,8
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,3,22
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,4,20
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,5,16
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,6,30
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,7,6
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,8,20
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,9,24
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,10,22
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,11,12
"Dallas County, TX",2021,"Units in 2-Unit Multifamily Structures",4,12,22
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,1,0
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,2,7
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,3,7
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,4,0
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,5,0
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,6,0
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,7,7
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,8,0
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,9,12
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,10,0
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,11,0
"Dallas County, TX",2021,"Units in 3 & 4-Unit Multifamily Structures",5,12,4
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,1,"2,025"
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,2,762
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,3,732
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,4,429
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,5,744
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,6,"2,124"
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,7,431
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,8,916
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,9,551
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,10,910
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,11,917
"Dallas County, TX",2021,"Units in 5+-Unit Multifamily Structures",6,12,718
"Dallas County, TX",2022,"Total Units",1,1,788
"Dallas County, TX",2022,"Total Units",1,2,438
"Dallas County, TX",2022,"Total Units",1,3,"1,351"
"Dallas County, TX",2022,"Total Units",1,4,"1,907"
"Dallas County, TX",2022,"Total Units",1,5,"1,249"
"Dallas County, TX",2022,"Total Units",1,6,"1,490"
"Dallas County, TX",2022,"Total Units",1,7,"2,214"
"Dallas County, TX",2022,"Total Units",1,8,"1,249"
"Dallas County, TX",2022,"Total Units",1,9,"2,059"
"Dallas County, TX",2022,"Total Units",1,10,"2,043"
"Dallas County, TX",2022,"Total Units",1,11,"1,099"
"Dallas County, TX",2022,"Total Units",1,12,"1,395"
"Dallas County, TX",2022,"Units in Single Family Structures",2,1,510
"Dallas County, TX",2022,"Units in Single Family Structures",2,2,422
"Dallas County, TX",2022,"Units in Single Family Structures",2,3,614
"Dallas County, TX",2022,"Units in Single Family Structures",2,4,597
"Dallas County, TX",2022,"Units in Single Family Structures",2,5,520
"Dallas County, TX",2022,"Units in Single Family Structures",2,6,603
"Dallas County, TX",2022,"Units in Single Family Structures",2,7,440
"Dallas County, TX",2022,"Units in Single Family Structures",2,8,461
"Dallas County, TX",2022,"Units in Single Family Structures",2,9,437
"Dallas County, TX",2022,"Units in Single Family Structures",2,10,507
"Dallas County, TX",2022,"Units in Single Family Structures",2,11,378
"Dallas County, TX",2022,"Units in Single Family Structures",2,12,323
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,1,278
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,2,16
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,3,737
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,4,"1,310"
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,5,729
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,6,887
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,7,"1,774"
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,8,788
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,9,"1,622"
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,10,"1,536"
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,11,721
"Dallas County, TX",2022,"Units in All Multifamily Structures",3,12,"1,072"
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,1,12
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,2,4
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,3,18
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,4,34
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,5,92
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,6,24
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,7,14
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,8,28
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,9,30
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,10,44
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,11,18
"Dallas County, TX",2022,"Units in 2-Unit Multifamily Structures",4,12,40
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,1,4
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,2,0
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,3,10
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,4,0
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,5,20
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,6,4
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,7,11
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,8,0
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,9,0
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,10,0
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,11,7
"Dallas County, TX",2022,"Units in 3 & 4-Unit Multifamily Structures",5,12,3
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,1,262
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,2,12
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,3,709
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,4,"1,276"
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,5,617
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,6,859
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,7,"1,749"
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,8,760
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,9,"1,592"
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,10,"1,492"
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,11,696
"Dallas County, TX",2022,"Units in 5+-Unit Multifamily Structures",6,12,"1,029"
