county_name,state,year,month,date,treated,post,treated_post,total_permits,single_family,multifamily,log_total_permits,log_single_family,log_multifamily,county_id,time_id,time_trend
Ca Sandiego,California,2018,4,2018-04-01,1,0,0,953,264,1378,6.860663671448287,5.579729825986222,7.229113877793302,California_Ca Sandiego,2018-04,0.2464065708418891
Ca Sandiego,California,2018,5,2018-05-01,1,0,0,1775,643,2264,7.4821189235521155,6.467698726104354,7.725330037917135,California_Ca Sandiego,2018-05,0.32854209445585214
Ca Sandiego,California,2018,6,2018-06-01,1,0,0,1455,297,2316,7.283448228756631,5.697093486505405,7.748028524432376,California_Ca Sandiego,2018-06,0.4134154688569473
Ca Sandiego,California,2018,7,2018-07-01,1,0,0,384,246,276,5.953243334287785,5.5093883366279774,5.6240175061873385,California_Ca Sandiego,2018-07,0.49555099247091033
Ca Sandiego,California,2018,8,2018-08-01,1,0,0,504,308,392,6.22455842927536,5.733341276897746,5.973809611869261,California_Ca Sandiego,2018-08,0.5804243668720055
Ca Sandiego,California,2018,9,2018-09-01,1,0,0,689,215,948,6.536691597591305,5.375278407684165,6.855408798609928,California_Ca Sandiego,2018-09,0.6652977412731006
Ca Sandiego,California,2018,10,2018-10-01,1,0,0,449,236,426,6.1092475827643655,5.4680601411351315,6.056784013228625,California_Ca Sandiego,2018-10,0.7474332648870636
Ca Sandiego,California,2018,11,2018-11-01,1,0,0,273,198,150,5.6131281063880705,5.293304824724492,5.017279836814924,California_Ca Sandiego,2018-11,0.8323066392881588
Ca Sandiego,California,2018,12,2018-12-01,1,0,0,533,166,734,6.280395838960195,5.117993812416755,6.5998704992128365,California_Ca Sandiego,2018-12,0.9144421629021219
Ca Sandiego,California,2019,1,2019-01-01,1,0,0,344,248,192,5.84354441703136,5.517452896464707,5.262690188904886,California_Ca Sandiego,2019-01,0.999315537303217
Ca Sandiego,California,2019,2,2019-02-01,1,0,0,272,191,162,5.60947179518496,5.2574953720277815,5.093750200806762,California_Ca Sandiego,2019-02,1.0841889117043122
Ca Sandiego,California,2019,3,2019-03-01,1,0,0,519,257,524,6.253828811575473,5.552959584921617,6.263398262591624,California_Ca Sandiego,2019-03,1.160848733744011
Ca Sandiego,California,2019,4,2019-04-01,1,0,0,902,317,1170,6.805722553416985,5.762051382780177,7.065613363597717,California_Ca Sandiego,2019-04,1.2457221081451062
Ca Sandiego,California,2019,5,2019-05-01,1,0,0,1324,244,2160,7.1891677384203225,5.501258210544727,7.6783263565068856,California_Ca Sandiego,2019-05,1.3278576317590691
Ca Sandiego,California,2019,6,2019-06-01,1,0,0,716,293,846,6.57507584059962,5.683579767338681,6.741700694652055,California_Ca Sandiego,2019-06,1.4127310061601643
Ca Sandiego,California,2019,7,2019-07-01,1,0,0,424,294,260,6.052089168924417,5.68697535633982,5.564520407322694,California_Ca Sandiego,2019-07,1.4948665297741273
Ca Sandiego,California,2019,8,2019-08-01,1,0,0,919,242,1354,6.824373670043086,5.493061443340548,7.2115567333138015,California_Ca Sandiego,2019-08,1.5797399041752225
