county_name,state,year,month,date,treated,post,treated_post,total_permits,single_family,multifamily
Tx Bexar,Texas,2022,9,2022-09-01,0,1,0,1181,267,1828
Tx Bexar,Texas,2022,10,2022-10-01,0,1,0,1380,331,2098
Tx Bexar,Texas,2022,11,2022-11-01,0,1,0,889,241,1296
Tx Bexar,Texas,2022,12,2022-12-01,0,1,0,915,226,1378
Tx Dallas,Texas,2018,1,2018-01-01,0,0,0,1484,401,2166
Tx Dallas,Texas,2018,2,2018-02-01,0,0,0,795,336,918
Tx Dallas,Texas,2018,3,2018-03-01,0,0,0,1687,494,2386
Tx Dallas,Texas,2018,4,2018-04-01,0,0,0,2685,337,4696
Tx Dallas,Texas,2018,5,2018-05-01,0,0,0,1457,485,1944
Tx Dallas,Texas,2018,6,2018-06-01,0,0,0,2140,426,3428
Tx Dallas,Texas,2018,7,2018-07-01,0,0,0,2183,567,3232
Tx Dallas,Texas,2018,8,2018-08-01,0,0,0,1265,453,1624
Tx Dallas,Texas,2018,9,2018-09-01,0,0,0,1448,443,2010
Tx Dallas,Texas,2018,10,2018-10-01,0,0,0,537,417,240
Tx Dallas,Texas,2018,11,2018-11-01,0,0,0,1778,306,2944
Tx Dallas,Texas,2018,12,2018-12-01,0,0,0,1107,256,1702
Tx Dallas,Texas,2019,1,2019-01-01,0,0,0,2084,435,3298
Tx Dallas,Texas,2019,2,2019-02-01,0,0,0,827,426,802
Tx Dallas,Texas,2019,3,2019-03-01,0,0,0,951,497,908
Tx Dallas,Texas,2019,4,2019-04-01,0,0,0,1907,488,2838
Tx Dallas,Texas,2019,5,2019-05-01,0,0,0,1172,484,1376
Tx Dallas,Texas,2019,6,2019-06-01,0,0,0,926,398,1056
Tx Dallas,Texas,2019,7,2019-07-01,0,0,0,756,482,548
Tx Dallas,Texas,2019,8,2019-08-01,0,0,0,1994,461,3066
Tx Dallas,Texas,2019,9,2019-09-01,0,0,0,711,407,608
Tx Dallas,Texas,2019,10,2019-10-01,0,0,0,2441,472,3938
Tx Dallas,Texas,2019,11,2019-11-01,0,0,0,1789,430,2718
Tx Dallas,Texas,2019,12,2019-12-01,0,0,0,944,429,1030
Tx Dallas,Texas,2020,1,2020-01-01,0,1,0,1077,456,1242
Tx Dallas,Texas,2020,2,2020-02-01,0,1,0,633,529,208
Tx Dallas,Texas,2020,3,2020-03-01,0,1,0,449,397,104
Tx Dallas,Texas,2020,4,2020-04-01,0,1,0,729,355,748
Tx Dallas,Texas,2020,5,2020-05-01,0,1,0,1495,305,2380
Tx Dallas,Texas,2020,6,2020-06-01,0,1,0,1613,518,2190
